Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100,-20.300082,0.096604,0.120717,1.249608,1.465774
116.6,-18.993193,0.11229,0.140795,1.25385,1.450012
135.9,-17.698936,0.130333,0.163927,1.257761,1.431834
158.5,-16.404518,0.151277,0.19085,1.261589,1.410375
184.8,-15.135747,0.17507,0.221459,1.264973,1.385703
215.4,-13.892724,0.202006,0.256123,1.2679,1.357244
251.2,-12.697564,0.231804,0.294296,1.269587,1.324322
292.9,-11.487445,0.266457,0.338409,1.27003,1.286849
341.5,-10.232926,0.30786,0.390647,1.26891,1.24473
398.1,-9.022592,0.353892,0.448141,1.266322,1.197503
464.2,-7.943521,0.400704,0.505861,1.262429,1.144365
541.2,-6.91531,0.45106,0.567315,1.257737,1.086075
631,-5.794208,0.513204,0.642845,1.252613,1.022288
735.6,-4.8947,0.5692,0.710001,1.247366,0.954067
857.7,-4.091273,0.624362,0.775648,1.242305,0.882464
1000,-3.369252,0.678481,0.839488,1.237306,0.808427
1166,-2.748353,0.728756,0.898468,1.232878,0.733797
1359,-2.156176,0.780174,0.95851,1.228586,0.660564
1585,-1.715451,0.820781,1.00531,1.22482,0.589347
1848,-1.357438,0.855319,1.044754,1.221479,0.522017
2154,-1.074329,0.883657,1.077014,1.218815,0.45959
2512,-0.831929,0.908665,1.105081,1.21616,0.402303
2929,-0.654536,0.927413,1.126226,1.214373,0.350675
3415,-0.5193,0.941966,1.142653,1.213052,0.304637
3981,-0.416112,0.953223,1.15567,1.212382,0.263935
4642,-0.337871,0.961848,1.165324,1.211547,0.228099
5412,-0.278895,0.968401,1.172706,1.210971,0.196855
6310,-0.233718,0.973451,1.177895,1.21002,0.169642
7356,-0.200843,0.977142,1.182504,1.210165,0.146085
8577,-0.176042,0.979936,1.185549,1.209822,0.125678
10000,-0.157606,0.982019,1.188148,1.209904,0.108073
11660,-0.143077,0.983663,1.18865,1.208392,0.09289
13590,-0.133242,0.984777,1.190251,1.208651,0.079859
15850,-0.125364,0.985671,1.190234,1.207537,0.068592
18480,-0.119507,0.986335,1.188978,1.20545,0.058918
21540,-0.115153,0.98683,1.18603,1.201859,0.050615
25120,-0.111205,0.987279,1.179341,1.194537,0.043447
29290,-0.109485,0.987474,1.18102,1.196001,0.037292
34150,-0.106802,0.987779,1.193743,1.208512,0.032004
39810,-0.104951,0.98799,1.194607,1.209129,0.027485
46420,-0.104107,0.988086,1.194565,1.208969,0.023551
54120,-0.104262,0.988068,1.194916,1.209346,0.020178
63100,-0.101892,0.988338,1.194753,1.208851,0.01729
73560,-0.101966,0.988329,1.194748,1.208856,0.014816
85770,-0.101231,0.988413,1.194736,1.208742,0.012663
100000,-0.10125,0.988411,1.194819,1.208828,0.010827
