Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad)
100.000000,-7.084537,0.442357,0.541559,1.224257,3.137624
116.600000,-7.083082,0.442431,0.543541,1.228532,3.136290
135.900000,-7.082051,0.442484,0.545480,1.232769,3.134914
158.500000,-7.081356,0.442519,0.547340,1.236872,3.133245
184.800000,-7.079216,0.442628,0.549055,1.240442,3.131308
215.400000,-7.079690,0.442604,0.550469,1.243705,3.129285
251.200000,-7.080474,0.442564,0.551455,1.246046,3.126939
292.900000,-7.081218,0.442526,0.551733,1.246780,3.124286
341.500000,-7.083679,0.442401,0.551536,1.246688,3.121332
398.100000,-7.085723,0.442297,0.550780,1.245272,3.117887
464.200000,-7.089155,0.442122,0.549588,1.243069,3.113980
541.200000,-7.091969,0.441979,0.548166,1.240254,3.109489
631.000000,-7.095245,0.441812,0.546721,1.237450,3.104283
735.600000,-7.098962,0.441623,0.545228,1.234599,3.098201
857.700000,-7.103844,0.441375,0.543981,1.232470,3.091121
1000.000000,-7.109208,0.441103,0.542813,1.230583,3.082985
1166.000000,-7.115328,0.440792,0.541757,1.229055,3.073404
1359.000000,-7.123716,0.440366,0.540651,1.227731,3.062418
1585.000000,-7.134275,0.439831,0.539477,1.226553,3.049440
1848.000000,-7.147784,0.439148,0.538170,1.225488,3.034385
2154.000000,-7.166239,0.438216,0.536724,1.224795,3.017007
2512.000000,-7.191593,0.436939,0.534941,1.224293,2.996749
2929.000000,-7.224261,0.435298,0.532748,1.223869,2.973384
3415.000000,-7.267526,0.433135,0.529800,1.223173,2.946278
3981.000000,-7.326685,0.430195,0.526350,1.223513,2.915190
4642.000000,-7.404032,0.426382,0.521591,1.223295,2.879417
5412.000000,-7.506765,0.421368,0.515453,1.223283,2.838620
6310.000000,-7.643975,0.414764,0.507146,1.222732,2.792286
7356.000000,-7.820967,0.406398,0.497212,1.223459,2.740327
8577.000000,-8.050989,0.395777,0.484115,1.223203,2.682450
10000.000000,-8.341841,0.382744,0.468241,1.223380,2.618884
11660.000000,-8.674795,0.368350,0.450133,1.222025,2.550069
13590.000000,-9.126917,0.349667,0.427473,1.222515,2.477386
15850.000000,-9.674959,0.328286,0.401022,1.221564,2.401484
18480.000000,-10.320050,0.304788,0.371591,1.219178,2.324464
21540.000000,-11.082429,0.279176,0.339351,1.215543,2.248082
25120.000000,-11.924551,0.253380,0.306269,1.208734,2.173375
29290.000000,-12.873369,0.227160,0.274831,1.209856,2.102360
34150.000000,-13.876864,0.202375,0.247478,1.222866,2.035680
39810.000000,-14.880268,0.180296,0.220495,1.222961,1.974117
46420.000000,-16.006529,0.158370,0.193696,1.223060,1.918227
54120.000000,-17.246963,0.137294,0.167924,1.223095,1.868035
63100.000000,-18.446024,0.119591,0.146281,1.223179,1.823367
73560.000000,-19.569576,0.105080,0.128523,1.223091,1.783887
85770.000000,-20.866507,0.090505,0.110715,1.223301,1.750310
100000.000000,-22.113811,0.078399,0.095879,1.222964,1.723899
