Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad),Phase (Degrees),,Magnitude - No Rs (V/V),Omega (f * 2pi),,Phase (No Rs),,Phase (Degrees)- No Rs
31620,-21.189972,0.087197,0.063763,0.731253,1.564623,89.64629443,,0.084899815,198674.1516,,1.597178793,,91.51160397
35480,-22.09011,0.078613,0.057516,0.731633,1.551617,88.90110552,,0.075668665,222927.2264,,1.594309381,,91.34719878
39810,-23.110507,0.0699,0.051154,0.731816,1.538437,88.14594715,,0.067442271,250133.3958,,1.591752451,,91.20069749
44670,-24.14172,0.062075,0.04544,0.732014,1.524866,87.36838612,,0.06010741,280669.6506,,1.589472744,,91.07007988
50120,-25.182107,0.055067,0.040312,0.732042,1.510577,86.54968673,,0.053573309,314912.9816,,1.587441998,,90.95372672
56230,-26.239205,0.048757,0.035689,0.731966,1.494871,85.64979922,,0.047753346,353303.2114,,1.585633259,,90.85009358
63100,-27.46049,0.042362,0.031015,0.732139,1.479356,84.7608552,,0.042555174,396468.658,,1.584017802,,90.75753471
70790,-28.565349,0.037302,0.027311,0.732156,1.461943,83.76316379,,0.037933037,444786.3122,,1.58258139,,90.6752344
79430,-29.699305,0.032737,0.023974,0.732324,1.442618,82.65592285,,0.033807353,499072.9874,,1.581299281,,90.60177496
89130,-30.880037,0.028576,0.020926,0.732289,1.421589,81.4510499,,0.030128447,560019.8334,,1.580156029,,90.53627143
100000,-32.107831,0.024809,0.01817,0.732404,1.398763,80.14321644,,0.026853727,628318,,1.579138391,,90.47796507
